번호,영역,공간구성요소,스마트 요소,효과_1to5,난이도_1to5,구분,근거(실측·SWOT),비고
1,조경 시설물,휴게 시설물,차양 구조물 — 태양광 자립형 쿨링 그늘막,5,2,우선 도입,폭염일수 2016–2025 평균 7.1일(1975–1984 0.7일의 10.1배) · 전원 인입 없이 설치 가능,점수는 팀 논의용 판단값 · 실측 아님
2,공원 설계 방법,데이터 플랫폼 구축,이용·환경 데이터를 팀 대시보드에 연동,4,2,우선 도입,비교과에서 만든 대시보드에 바로 얹을 수 있음(SWOT S) · 지표 13종 누적 구조와 일치,점수는 팀 논의용 판단값 · 실측 아님
3,도로 및 광장,보행 공간,가로등·볼라드 보행자 자동 계수(적외선),4,3,우선 도입,"0–1km 건물밀도 1,268동/km²로 유동 집중 · 과거 이용 데이터 부재(W) 해소 · 영상 방식은 개인정보 검토(T)라 비영상 권장",점수는 팀 논의용 판단값 · 실측 아님
4,조경 시설물,휴게 시설물,스마트 쓰레기통 — 적재량 센서,3,2,선택 도입,반경 1km 공원·광장 28곳(OSM)에 도심 유동 집중 · 수거 주기 조정,점수는 팀 논의용 판단값 · 실측 아님
5,조경 시설물,옥외 시설물,디지털 안내 표지(QR·다국어),3,2,선택 도입,세종로공원·탑골공원 등 관광 동선 공원이 1km 안에 분포 · 소전력,점수는 팀 논의용 판단값 · 실측 아님
6,녹지,식재 기반(토양),토양 센서·관수 모니터링,3,3,선택 도입,폭염일 증가로 수목 스트레스 관리 필요 · 모니터링 담당이 없으면 방치됨(T),점수는 팀 논의용 판단값 · 실측 아님
7,수경시설,연못,우수 관리 모니터링 센서,3,4,보류,소공원·마당형 공원이 많아 수경시설 대상이 적음 · 급·배수 공사 동반,점수는 팀 논의용 판단값 · 실측 아님
8,조경 시설물,조경 구조물,에너지 생산형 운동시설,2,3,선택 도입,생산 전력이 작아 체감 효과는 홍보 위주 · 설치 면적 필요,점수는 팀 논의용 판단값 · 실측 아님
9,조경 시설물,편의 시설물,스마트 주차장 — 주차면 센서,2,4,보류,도심 소공원은 대중교통·보행 접근 위주 · 주차면 확보 곤란,점수는 팀 논의용 판단값 · 실측 아님
10,도로 및 광장,광장,미디어 파사드·디자인 조명,2,5,보류,전원·통신망 확보 지점 제한(W) · 제품 사양 발주 시 교체 시점 종속(T),점수는 팀 논의용 판단값 · 실측 아님
